sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H181680611-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181840510-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181980646-1_NGS93,1a,,1a,1a,,1a,1a,1a,1a,1a
H182280647-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190460326-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190560313-1_NGS93,,,1a,1a,1a,1a,1a,1a,1a,1a
H190560446-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190680138-1_NGS93,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H190680139-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190780665-1_NGS93,1a,1a,1a,1,1,1a,1a,,1a,1a
H190880323-1_NGS93,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H190880324-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060366-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060367-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060369-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191160037-1_NGS93,1a,,1a,,,1a,1a,,1a,1a
H191480033-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191480035-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760555-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760557-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760560-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760561-1_NGS93,1c,,,,,1a,,1a,1a,1a
H191880052-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280401-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280402-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680187-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210680246-1_NGS93,,,3a,,,,,,3a,3a
H210700031-1_NGS93,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210720534-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720535-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720656-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210760105-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760109-1_NGS93,,,,,,,1a,1,,
H210760525-1_NGS93,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210760526-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760528-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780309-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780571-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780572-1_NGS93,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210781076-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210781077-1_NGS93,,,,1b,1b,1b,1b,1b,1b,1b
H210781078-1_NGS93,,,,1a,1,1a,1a,,1a,1a
H210781079-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210781080-1_NGS93,1a,,1,,1a,1a,1a,1a,1a,1a
H210781081-1_NGS93,1a,1a,1a,1a,1a,1a,1a,,1a,1a
H210781082-1_NGS93,1a,1a,,1a,1a,1a,1a,1a,1a,1a
H210800368-1_NGS93,3a,,3a,3a,3a,3a,3a,3a,3a,3a
H210800427-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820485-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210820549-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820554-1_NGS93,,,,,,,,,,
H210820590-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840136-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840522-1_NGS93,,,1a,,1a,1a,,,1a,1a
H210840553-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210840556-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210860052-1_NGS93,5a,5a,5a,5a,5a,5a,5a,5a,5a,5a
H210861063-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
PC_1-1_NGS93,,1a,,,,1a,1a,1a,1a,1a
PC_2-1_NGS93,1a,1a,1a,,1a,1a,1a,1a,1a,1a
RS17004844-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
