sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H211520436-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520814-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520815-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520816-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520817-1_NGS98,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211520860-1_NGS98,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b
H211520861-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211540709-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560070-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560508-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211560511-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560512-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560513-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211580351-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211580607-1_NGS98,3a,3a,3,3a,3a,3a,,3a,3a,3a
H211580719-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211600485-1_NGS98,1c,1c,1c,1c,1c,1c,1c,1c,1c,1c
H211600486-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211620703-1_NGS98,4k,4k,4k,4k,4k,4k,4k,4k,4k,4k
H211620704-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211640521-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680167-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680168-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680169-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680170-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680171-1_NGS98,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211680172-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680173-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680174-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680175-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680177-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680178-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680601-1_NGS98,3h,,3h,,,3h,3h,3h,3h,3h
H211700038-1_NGS98,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211700039-1_NGS98,,,,,,,,,,
H211700056-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211700057-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700067-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700449-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211720147-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740235-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740540-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740541-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740542-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740543-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740545-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740546-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740642-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740643-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740644-1_NGS98,6f,6f,6f,6f,6f,6f,6f,6f,6f,6f
H211740753-1_NGS98,6n,6n,6n,6n,6n,6n,6n,6n,6n,6n
H211760658-1_NGS98,4r,4r,4r,4r,4r,4r,4r,4r,4r,4r
H211760659-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211760660-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_1-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_3-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
