sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H211540708-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211560515-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700039-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211740644-1_NGS99,6f,6f,6f,6f,6f,6f,6f,6f,6f,6f
H211820258-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211820288-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211841102-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211841103-1_NGS99,,,,1a,1a,1a,1a,,1,1
H211841104-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860221-1_NGS99,,,,,3a,,3a,,,
H211860222-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860904-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211860905-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211860906-1_NGS99,4,4,4,4,4,4,4,4,4,4
H211860907-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860908-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860909-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860910-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860911-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211880094-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211880856-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211880857-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211900002-1_NGS99,1o,1,1o,1,1o,1,1o,1o,1o,1o
H211900006-1_NGS99,1a,1a,3a,3a,3,1a,1a,3a,3a,3a
H211900006-2_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211900485-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211900486-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921020-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921022-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211921025-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211921029-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921167-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211940943-1_NGS99,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211940944-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211940945-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211940946-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211940961-1_NGS99,,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211960671-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211960673-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211960674-1_NGS99,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_1-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
