sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H210700034-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210880181-1_NGS95,,,,,,1a,1a,,1a,1a
H210880650-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210880653-1_NGS95,1a,1,1a,1a,1a,1a,1a,1a,1a,1a
H210880654-1_NGS95,,,,,,,,,,
H210880664-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210880665-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210880666-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210900534-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900535-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900536-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210900537-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210900538-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900539-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210920145-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210920146-1_NGS95,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210920588-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210940531-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960137-1_NGS95,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960524-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210960527-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960908-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960909-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960910-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960911-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980721-1_NGS95,2k,2k,2k,2k,2,1b,1b,1b,1b,1b
H210980722-1_NGS95,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H210980723-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980724-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210980725-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210980726-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210980727-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980728-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211000392-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211040783-1_NGS95,,,,3a,,,3a,3a,,
H211040784-1_NGS95,2k,2k,2k,2k,2,1b,1b,1b,1b,1b
H211060465-1_NGS95,,,,,,,,3a,,
H211060466-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211060474-1_NGS95,1c,1c,1,1,1,1,1,1c,1c,1c
H211060475-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211060708-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211080571-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211080572-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211080573-1_NGS95,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
PC_1-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
