sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H203780590-1_NGS96,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H210880654-1_NGS96,3a,,3a,3a,3a,3a,3,3a,3a,3a
H211080109-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211100184-1_NGS96,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211100185-1_NGS96,,,3a,3a,3a,3a,,3a,3a,3a
H211120729-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211120730-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211120731-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211120732-1_NGS96,,,,,,,,,,
H211140559-1_NGS96,3a,,3a,,3a,3a,3a,3a,3a,3a
H211140562-1_NGS96,1a,,,1a,1a,1a,1a,1a,1a,1a
H211140563-1_NGS96,,1a,1a,,1a,1a,1a,1a,1a,1a
H211140564-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140566-1_NGS96,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211140566-2_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140568-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140635-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140804-1_NGS96,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211160489-1_NGS96,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H211200490-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211200491-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211200492-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211220510-1_NGS96,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H211220511-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211220513-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211240163-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211240165-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211241127-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211241128-1_NGS96,4r,4r,4r,4r,4r,4r,4r,4r,4r,4r
H211241521-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211260841-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211260843-1_NGS96,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
H211280817-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211280818-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211280819-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211280820-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211360671-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211360791-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211360921-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211361096-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211361097-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211361171-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_1-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_3-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
