sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H204820685-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210161351-1_NGS91,2a,2a,2a,2a,2a,2a,2a,2a,2a,2a
H210180794-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210180795-1_NGS91,,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210220700-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210220787-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210220788-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210240111-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210240113-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210241030-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210280185-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210280208-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210281395-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281396-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210281397-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281398-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281399-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300532-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210300533-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300549-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300550-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210300551-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210341088-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210360996-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210360997-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210360998-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210360999-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210361033-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380210-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380784-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210380785-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380825-1_NGS91,,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210400331-1_NGS91,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210400388-1_NGS91,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210400421-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210400512-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-1_genomancer_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-2_genomancer_NGS91,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210420662-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210420664-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_1-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
