sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H211420369-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420370-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211420371-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420372-1_NGS97,4k,4k,4k,4k,4k,4k,4k,4k,4k,4k
H211420373-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211420374-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420375-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420376-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211440767-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211440768-1_NGS97,,2b,,2b,2b,2b,2b,2b,,
H211440769-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211440770-1_NGS97,,,,,,1b,1b,,,
H211460729-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480307-1_NGS97,,,3,,3a,3a,,3a,3a,3a
H211480619-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480620-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480621-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480623-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211480624-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480625-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480669-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211500319-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211500410-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211500411-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520034-1_NGS97,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211520035-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520036-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520037-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520038-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520039-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520041-1_NGS97,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H211520042-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520043-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520052-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520425-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520426-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520427-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520428-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520429-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520430-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520431-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520432-1_NGS97,4w,4w,4w,4w,4w,4w,4w,4w,4w,4w
H211520433-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520434-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520435-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520437-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520438-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520439-1_NGS97,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211520441-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520812-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520813-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
PC_1-1_NGS97,1a,1a,1a,,1a,1a,1a,1a,1a,1a
PC_2-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
